Samp_no,Date,Species,Month,Colony,Fv.Fm,Ik,rETRmax,Alpha,SA_cm2,Cells.cm2,Chl_pg.cell,Host_Proteins_mg.cm2,Host_Carbs_mg.cm2,Lipids_Host.mg.cm2.,Host_Stored_energy_J.cm2,Carbs_sym.pg.cell.,Proteins_sym.pg.cell.,Lipids_sym.pg.cell.,Sym_Stored_energy_uJ.cell
1,04/02/2021,Stylophora,February,S1,0.579,4.415172414,19.206,4.35,2.237,5307450,1.98,1.32,0.2,0.54,56,16.9,21.959,11.807,1.29
2,04/02/2021,Stylophora,February,S2,,3.502318841,12.083,3.45,1.134,4729712,1.6,1.44,0.21,0.29,50,,15.029,20.771,
3,04/02/2021,Stylophora,February,S3,0.544,4.785888078,19.67,4.11,2.513, ,1.37,0.9,0.1,0.51,44,22.72,26.629,3.796,1.18
4,04/02/2021,Stylophora,February,S4,0.55,4.306779661,15.246,3.54,2.513,5569617,1.17,1.22,0.27,0.45,51,23.38,25.328,12.38,1.5
5,04/02/2021,Stylophora,February,S5,0.485,4.5,17.82,3.96,3.34,6805914,1.57, , ,0.08, ,30.77,10.097,12.136,1.26
6,04/02/2021,Stylophora,February,S6,0.556,3.920300752,15.642,3.99,1.41,5352658,2.12,1.55,0.2,0.57,63,23.91,79.196,45.415,4.11
7,04/02/2021,Stylophora,February,S7,0.564,4.033819951,16.579,4.11,1.961, ,1.31, ,0.13,0.31, ,13.3,39.493,57.605,3.45
8,04/02/2021,Stylophora,February,S8,0.548,4.438888889,15.5805,3.51,1.961,5476351, ,1.38,0.21,0.02,37,20.77,27.289,29.228,2.17
9,08/03/2021,Stylophora,March,S1,0.566,4.469827586,20.74,4.64,3.34,4692959,1.5,1.49,0.3, , ,25.7,26.662,27.918,2.19
10,08/03/2021,Stylophora,March,S2,0.585,4.724211712,20.9755,4.44,2.513,4253325,1.05,1.43,0.22,0.34,52,25.5,41.984,45.45,3.24
11,08/03/2021,Stylophora,March,S3,0.575,5.516239316,25.816,4.68,3.34,5249827,1.61,1.37,0.29,0.55,59,30.75,27.462,30.939,2.42
12,08/03/2021,Stylophora,March,S4,0.611,4.316592428,19.3815,4.49,1.41,5554846,1.74,1.8,0.32,0.19,56,30.77,30.859,38.611,2.8
13,08/03/2021,Stylophora,March,S5,0.562,4.688972163,21.8975,4.67,3.616,4884676,1.6,2.12,0.3,0.53,77,25.56,28.961,19.801,1.92
14,08/03/2021,Stylophora,March,S6,0.545,3.434482759,13.944,4.06,2.237,3832227,1.4,1.36, ,0.26, ,35.09,34.543,41.301,3.07
15,08/03/2021,Stylophora,March,S7,0.55,3.856953642,17.472,4.53,5.822,2983398, ,1.25,0.24,0.42,50,32.48,48.694,20.714,2.55
16,08/03/2021,Stylophora,March,S8,0.587,4.516750948,21.4365,4.746,2.789,2867102,1.51,1.37,0.19,0.39,51,32.25,34.872,50.036,3.37
17,07/04/2021,Stylophora,April,S1,0.587,4.008292683,16.434,4.1,3.064,4383517,1.59,1.78,0.33,0.44,66,25.73,25.475,1.137,1.1
18,07/04/2021,Stylophora,April,S2,0.545,3.309855769,13.769,4.16,2.237,3399718,1.5,1.6,0.26,0.21,51,28.09,30.358,36.385,2.65
19,07/04/2021,Stylophora,April,S3,0.593,4.906956522,22.572,4.6,2.513,3916044,1.54,1.43, ,0.38, ,27.22,59.064,28.99,3.03
20,07/04/2021,Stylophora,April,S4,0.613,5.204106776,25.344,4.87,2.789,5067186, ,2.22,0.44,0.56,83,38.88,40.319,20.019,2.43
21,07/04/2021,Stylophora,April,S5,0.57,4.104878049,16.83,4.1,4.167,4913041,1.74,1.82,0.32,0.46,67,28.27,26.63,16.59,1.79
22,07/04/2021,Stylophora,April,S6,0.574,3.986283186,18.018,4.52,3.064,4466733,1.32,1.68,0.31,0.55,67,30.12,30.82,2.291,1.35
23,07/04/2021,Stylophora,April,S7,0.581,4.32020202,21.385,4.95,1.961,4830050,1.43,1.76,0.27, , ,21.56,45.28,23.921,
24,07/04/2021,Stylophora,April,S8,0.537,4.802745995,20.988,4.37,3.616,5950801,1.62, ,0.39,0.43, ,23.25,39.215,12.948,1.86
25,05/05/2021,Stylophora,May,S1,0.621,5.166932271,25.938,5.02,2.237,2410648,1.42,1.73,0.29,0.53,67,34.31,56.17,8.65,2.28
26,05/05/2021,Stylophora,May,S2,0.595,5.327542373,25.146,4.72,2.789,2638487,1.15,1.48,0.16,0.66,64,31.79,59.556,67.984,
27,05/05/2021,Stylophora,May,S3,0.554,5.609302326,26.532,4.73,2.513,4587622,1.57,2.02,0.26,0.69,80,30.06,53.214,0.937,1.83
28,05/05/2021,Stylophora,May,S4,0.608,6.357758621,33.1875,5.22,5.271,5198135,1.19,1.94,0.32,0.34,65,27.94,32.573,11.738,1.73
29,05/05/2021,Stylophora,May,S5,0.53,5.726272912,28.116,4.91,4.167, ,1.2, , ,0.42, ,21.05,28.385,10.788,1.47
30,05/05/2021,Stylophora,May,S6,0.601,6.752601156,35.046,5.19,3.892,5110890,1.63,1.78,0.27,0.53,68,25.68,42.158,19.39,2.22
31,05/05/2021,Stylophora,May,S7,0.58,5.49126506,27.3465,4.98,2.513,2853459,1.44,1.32,0.24,0.86,70,28.08,47.716,8.709,1.98
32,05/05/2021,Stylophora,May,S8,0.61,6.382135922,32.868,5.15,3.34,3469197,1.34,1.88,0.24,0.63,74,23.25,37.203,45.38,3.09
33,14/06/2021,Stylophora,June,S1,,3.433189655,11.9475,3.48,2.789,2382976,1.54,1.49,0.24,0.28,51,35.36, ,36.085,
34,14/06/2021,Stylophora,June,S2,,3.996774194,14.868,3.72,3.064,2665355,1.17,1.33,0.17,0.19,42,28.49,43.847,5.921,1.78
35,14/06/2021,Stylophora,June,S3,,4.551428571,19.116,4.2,2.789,3103786,1.25,1.37,0.15,0.38,50,26.64, ,10.027,
36,14/06/2021,Stylophora,June,S4,,3.897922438,14.0715,3.61,3.34,5465389,1.01,1.82,0.34,0.56,72,21.48,25.572,13.352,1.51
37,14/06/2021,Stylophora,June,S5,,,,,3.892,3461221,1.02,1.14,0.19,0.21,39,26.04,24.189,11.213,1.48
38,14/06/2021,Stylophora,June,S6,,4.175724638,17.2875,4.14,2.789,3453433,1.04,1.04,0.1,0.3,39,28.49,26.216,22.13,2
39,14/06/2021,Stylophora,June,S7,,4.060588235,17.2575,4.25,2.789,2686900,1.34,1.72,0.33,0.58,70,28.62,36.142,68.985,4.09
40,14/06/2021,Stylophora,June,S8,,4.274336283,19.32,4.52,2.789,4464718,1.07,1.41,0.28,0.5,58,18.05, ,15.729,
41,01/07/2021,Stylophora,July,S1,0.582,5.679850746,22.833,4.02,2.513,2405740, ,1.69,0.18,0.57,66,22.74, ,100.358,
42,01/07/2021,Stylophora,July,S2,0.625,5.48,23.016,4.2,3.34,2838230,1.27,1.61,0.26,0.64,68,24.27,35.138,44.32,3.02
43,01/07/2021,Stylophora,July,S3,0.627,5.842156863,26.8155,4.59,4.443,3315126,1.54,1.36,0.29,0.34,51,29.86,50.251,4.167,1.89
44,01/07/2021,Stylophora,July,S4,0.601,6.681456954,30.267,4.53,6.925,4378460,1.41,2.08,0.3,0.2,63,20.49,41.791, ,
45,01/07/2021,Stylophora,July,S5,0.574,4.8,19.824,4.13, , , , , , , ,, , ,
46,01/07/2021,Stylophora,July,S6,0.578,4.2,18.312,4.36,2.513,1999809,1.01, ,0.1,0.44, ,16.88,49.796,99.54,5.42
47,01/07/2021,Stylophora,July,S7,0.622,6.204315789,29.4705,4.75,2.513,2468421,1.56,1.7,0.29,0.08,49,28.03,65.17,95.328,
48,01/07/2021,Stylophora,July,S8,0.59,4.652307692,21.168,4.55,3.064,1492990,1.29,1.36,0.13,0.62,59,18.54,69.429,15.293,2.59
49,03/08/2021,Stylophora,August,S1,0.647,5.118637275,25.542,4.99,4.995,2103667,1.66,1.09,0.16,0.61,53,,44.405,55.905,
50,03/08/2021,Stylophora,August,S9,0.578,7.409302326,38.232,5.16,3.064,1906622,0.91,0.89,0.11,0.11,28,,36.108,32.192,
51,03/08/2021,Stylophora,August,S3,0.628,9.25,49.1175,5.31,2.789,3039236,1.39, ,0.24,0.7, ,18.44,40.859,16.18,1.94
52,03/08/2021,Stylophora,August,S4,0.632,5.84537037,28.4085,4.86,4.167,3221371,1.41,1.01,0.14,0.17,33,20.9,32.46,29.3,2.3
53,03/08/2021,Stylophora,August,S5,0.592,5.780040733,28.38,4.91,2.237,2038490,1.43,1.2,0.19,0.1,36,,29.146,57.779,
54,03/08/2021,Stylophora,August,S6,0.604,7.240909091,38.232,5.28,3.34,3004392,1.02,1.2,0.16,0.11,36,19.45,50.037,47.352,3.41
55,03/08/2021,Stylophora,August,S7,0.64,,,5.64,2.237,1433649,1.66,1.02,0.08,0.32,39,,60.615, ,
56,03/08/2021,Stylophora,August,S8,0.644,4.872659574,22.9015,4.7,4.443,2374940,1.61,1.3,0.21,0.18,42,21.5,60.409,8.929,2.17
57,17/09/2021,Stylophora,September,S1,0.556,,,3.64, , , , , , , ,, , ,
58,17/09/2021,Stylophora,September,S9,0.569,7.611,34.2495,4.5,7.753,2186321,1.44,1.16,0.11,0.22,38,27.27,67.512,6.988,2.37
59,17/09/2021,Stylophora,September,S3,0.598,9.969795918,48.852,4.9,4.995,2537614,1.32,1.37,0.12,0.25,45,27.04,54.78,70.384,4.56
60,17/09/2021,Stylophora,September,S4,0.611,,26.55,4.07,4.443,3478857,1.63,1.93,0.25,0.87,85,31.87,42.802,26.877,2.64
61,17/09/2021,Stylophora,September,S5,0.539,11.37857143,54.162,4.76,9.407,2431573,1.11,1.2,0.23,0.39,48,25.75,59.136,14.818,2.45
62,17/09/2021,Stylophora,September,S6,0.597,10.17216867,42.2145,4.15,6.65,2692271,1.51,1.55,0.23,0.45,59,30.87,53.526,34.747,3.19
63,17/09/2021,Stylophora,September,S7,0.62,12.13562874,60.7995,5.01,4.995,3923541,1.6,1.63, ,0.84, ,26.69,54.6,18.771,2.51
64,17/09/2021,Stylophora,September,S8,0.645,9.940521327,41.949,4.22,4.167,2449322,1.66,1.14,0.16,0.52,51,21.46,68.833,33.452,3.34
65,08/10/2021,Stylophora,October,S1,0.596,8.02992278,37.4355,4.662,5.546,3000579,1.33,1.7, ,0.07, ,20.59,39.023,17.23,1.97
66,08/10/2021,Stylophora,October,S9,0.567,8.399044586,39.5595,4.71,3.892,2083285,1.76,0.73,0.1,0.24,29,17.5,43.744,1.222,1.4
67,08/10/2021,Stylophora,October,S3,0.579,9.37994012,46.9935,5.01,8.029,3090226,0.98,0.84,0.2,0.27,34,14.96,29.911,13.599,1.51
68,08/10/2021,Stylophora,October,S4,0.64,7.21403118,32.391,4.49,5.271,3665589,1.53,1.69,0.21,0.47,63,19.67,40.765,10.487,1.73
69,08/10/2021,Stylophora,October,S5,0.558,8.986153846,40.887,4.55,3.616,3368456,1.62,1.53,0.21,0.47,59,16.11,29.823,26.808,2.05
70,08/10/2021,Stylophora,October,S6,0.573,10.88029412,55.4895,5.1,4.167,3458925,1.14,1.38,0.16,0.66,62,16.72,29.942,3.441,1.14
71,08/10/2021,Stylophora,October,S7,0.638,10.78148479,60.2685,5.59,4.719,2840078,1.32,1.72,0.22,0.11,49,26.8,60.248,45.84,3.72
72,08/10/2021,Stylophora,October,S8,,8.812815126,41.949,4.76,7.753,2901229,1.35,1.36,0.14,0,35,19.42,47.05,20.954,2.29
73,03/11/2021,Stylophora,November,S1,,7.345050761,28.9395,3.94,10.235,2853483,1.99,1.06, ,0.29, ,20.08,41.28,14.982,1.93
74,03/11/2021,Stylophora,November,S9,,,22.848,3.58,3.892,3478566,1.71,1,0.16,0.6,50,16.11,29.268,32.098,2.25
75,03/11/2021,Stylophora,November,S3,,10.29742991,44.073,4.28,2.789,4900431,1.59,1.35,0.4, , ,22.94,25.621,7.486,1.31
76,03/11/2021,Stylophora,November,S4,,8.847058824,31.584,3.57,2.789,5849856,1.43,1.67,0.34,0.95,83,14.39,22.406,18.064,1.5
77,03/11/2021,Stylophora,November,S5,,9.36287062,41.6835,4.452,2.789,6247916,1.12,1.26,0.2,0.75,63,15.98,24.052,0.634,0.88
78,03/11/2021,Stylophora,November,S6,,8.101775148,27.384,3.38,3.064,3639470,1.2,1.09,0.15,0.67,55,23.66,26.983,26.772,2.12
79,03/11/2021,Stylophora,November,S7,,,54.4275,4.65,3.892,3923745,1.53,1.18,0.2, ,32,15.91,34.051,8.426,1.43
80,03/11/2021,Stylophora,November,S8,,8.443076923,32.928,3.9,5.822,3810402,1.91,0.91,0.16,0.39,40,19.29,30.743,16.343,1.72
81,02/12/2021,Stylophora,December,S1,0.624,3.219088937,14.84,4.61,4.443,3046743,1.61,1.46,0.16,0.91,74,15.14, ,10.13,
82,02/12/2021,Stylophora,December,S9,0.633,3.991489362,18.76,4.7,2.789,1772439,1.23,0.81,0.09, , ,13.4,39.659, ,
83,02/12/2021,Stylophora,December,S3,0.609,3.914606742,17.42,4.45,1.961,2826134, ,1.2,0.14,1.18,78,21.66,34.466,13.05,1.72
84,02/12/2021,Stylophora,December,S4,0.633,3.773157895,17.9225,4.75,4.443,3944730,1.91,1.46,0.26,0.75,69,18.05,41.291,29.654,2.47
85,02/12/2021,Stylophora,December,S5,0.58,2.713178295,10.5,3.87,3.892,2318402,1.48,0.77,0.06,0.46, ,20.36,54.01,15.769,2.27
86,02/12/2021,Stylophora,December,S6,0.629,3.453991131,15.5775,4.51,3.064,2219905,2.06,0.87,0.17,0.38,39,19.37, ,35.205,
87,02/12/2021,Stylophora,December,S7,0.638,3.261061947,14.74,4.52,2.789,2103259,1.4,1.23,0.1,0.57,54,17.85,58.596, ,
88,02/12/2021,Stylophora,December,S8,0.634,3.381849315,14.8125,4.38,3.892,2921610,1.54,1.25,0.22,0.72,62,21.69,33.727,3.471,1.32
89,09/01/2022,Stylophora,January,S1,0.608,2.876237624,11.62,4.04,5.822, ,2.06,1.17,0.21,0.59,55,18.33,46.969,30.238,2.64
90,09/01/2022,Stylophora,January,S9,0.581,3.882450331,17.5875,4.53,2.789,5002636,2.17,1.46,0.21,0.31,51,18.61,33.896,25.689,2.15
91,09/01/2022,Stylophora,January,S3,0.623,3.526315789,15.41,4.37,2.513,7079921,2.08,1.55,0.23, , ,23.37,37.673,10.965,1.74
92,09/01/2022,Stylophora,January,S4,0.617,3.275555556,14.74,4.5,4.443,5614109,2.23,1.76, ,1.06, ,21.87,39.48,17.473,2.02
93,09/01/2022,Stylophora,January,S5,0.602,3.659472422,15.26,4.17,2.789,5349593,1.76,1.43,0.25,1.11,82,18.02,29.416,32.842,2.32
94,09/01/2022,Stylophora,January,S6,0.613,3.443678161,14.98,4.35,2.789,5696550,1.89,1.5,0.3,1.04,82,27.63,41.993,17.309,2.17
95,09/01/2022,Stylophora,January,S7,0.618,3.797139831,17.9225,4.72,3.064,5854480,1.72,1.72,0.26,0.57,68,17.89,37.261,17.653,1.9
